,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite X,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
72,Rb,Zr,B,0.0,-7.44481,0.191,0.28517,-24.366329999999998,-0.45072,1.33,0.76,4.0528,6.8953,0.5794,0.0,1.67,0.71,0.54,1.55,0.86,46.9,41.1,5.15806,37,6.34799
73,Rb,Zr,A,0.0,-7.44481,0.191,0.28517,-24.366329999999998,-0.45072,1.33,0.76,4.0528,6.8953,0.5794,0.0,1.67,0.71,0.54,1.55,0.86,46.9,41.1,5.15806,37,4.4457699999999996
74,Rb,Hf,B,0.0,-7.35688,0.19488,0.28705,-27.89984,-0.41653999999999997,1.3,0.775,4.0528,7.6487,0.5794,0.4432,1.67,0.71,0.63,1.55,0.85,46.9,0.0,5.20263,37,6.3587
75,Rb,Hf,A,0.0,-7.35688,0.19488,0.28705,-27.89984,-0.41653999999999997,1.3,0.775,4.0528,7.6487,0.5794,0.4432,1.67,0.71,0.63,1.55,0.85,46.9,0.0,5.20263,37,4.37935
76,Rb,V,B,0.0,-7.171360000000001,0.31135,0.34843,-38.65724,-1.57108,1.63,0.84,4.0528,6.4707,0.5794,0.0,1.67,0.71,0.26,1.35,0.7775,46.9,50.6,5.146669999999999,37,6.0475699999999994
77,Rb,V,A,0.0,-7.171360000000001,0.31135,0.34843,-38.65724,-1.57108,1.63,0.84,4.0528,6.4707,0.5794,0.0,1.67,0.71,0.26,1.35,0.7775,46.9,50.6,5.146669999999999,37,2.66608
78,Rb,Nb,B,0.0,-7.481610000000001,0.29791,0.35791,-30.391809999999996,-1.09901,1.6,0.82,4.0528,6.275,0.5794,0.0864,1.67,0.71,0.51,1.45,0.82,46.9,86.1,5.25627,37,3.65579
79,Rb,Nb,A,0.0,-7.481610000000001,0.29791,0.35791,-30.391809999999996,-1.09901,1.6,0.82,4.0528,6.275,0.5794,0.0864,1.67,0.71,0.51,1.45,0.82,46.9,86.1,5.25627,37,3.57637
80,Rb,Ta,B,0.0,-8.61519,0.27332,0.34329,-34.68517,-2.1912599999999998,1.5,0.83,4.0528,7.3632,0.5794,1.1716,1.67,0.71,0.605,1.45,0.82,46.9,31.0,5.28487,37,2.89374
81,Rb,Ta,A,0.0,-8.61519,0.27332,0.34329,-34.68517,-2.1912599999999998,1.5,0.83,4.0528,7.3632,0.5794,1.1716,1.67,0.71,0.605,1.45,0.82,46.9,31.0,5.28487,37,3.63504
