,Asite,Bsite,Type,At2g,Aeg,Ad,Ap,Bt2g,Beg,Bd,Bp,Op,Asite X,Bsite X,Asite CS,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Bsite s,Asite p,Bsite p,Asite d,Bsite d,Asite atomic_radius,Asite average_ionic_radius,Asite mendeleev_no,Bsite atomic_radius,Bsite average_ionic_radius,Bsite mendeleev_no,Asite exp_IP,Asite exp_EA,Bsite exp_IP,Bsite exp_EA,Asite covalency,Bsite covalency,GM,Asite Z,Bsite Z,Work function
10,Rb,Sb,B,0.00000,0.00000,0.00000,-7.34127,0.99995,0.99906,0.99959,2.85482,-1.15985,0.82000,2.05000,0.30000,2.08000,4.05280,8.32660,0.57940,1.80320,1.67000,0.83000,2.43000,0.93500,0.71000,0.33500,2.35000,1.66000,9.00000,1.45000,0.83000,88.00000,403.00000,46.90000,834.00000,103.20000,0.17977,0.61691,5.46279,37,51,6.22112
11,Rb,Sb,A,0.00000,0.00000,0.00000,-7.34127,0.99995,0.99906,0.99959,2.85482,-1.15985,0.82000,2.05000,0.30000,2.08000,4.05280,8.32660,0.57940,1.80320,1.67000,0.83000,2.43000,0.93500,0.71000,0.33500,2.35000,1.66000,9.00000,1.45000,0.83000,88.00000,403.00000,46.90000,834.00000,103.20000,0.17977,0.61691,5.46279,37,51,3.89076
12,Cs,Sc,B,0.00000,0.00000,0.00000,-4.64414,0.11245,0.20228,0.14811,-25.23559,-0.49408,0.79000,1.36000,0.25000,0.74000,3.68870,6.82450,0.54710,0.00000,1.71000,1.22000,2.60000,1.53000,0.00000,0.31000,2.60000,1.81000,8.00000,1.60000,0.88500,19.00000,375.70000,45.50000,633.10000,18.10000,0.17280,0.33905,4.99877,55,21,6.70719
13,Cs,Sc,A,0.00000,0.00000,0.00000,-4.64414,0.11245,0.20228,0.14811,-25.23559,-0.49408,0.79000,1.36000,0.25000,0.74000,3.68870,6.82450,0.54710,0.00000,1.71000,1.22000,2.60000,1.53000,0.00000,0.31000,2.60000,1.81000,8.00000,1.60000,0.88500,19.00000,375.70000,45.50000,633.10000,18.10000,0.17280,0.33905,4.99877,55,21,4.35230
14,Cs,Ti,B,0.00000,0.00000,0.00000,-4.46691,0.19559,0.27892,0.22875,-32.48136,-1.03025,0.79000,1.54000,0.25000,0.79000,3.68870,7.25640,0.54710,0.25260,1.71000,1.15000,2.60000,1.43000,0.00000,0.28000,2.60000,1.81000,8.00000,1.40000,0.85167,51.00000,375.70000,45.50000,658.80000,7.60000,0.17280,0.40555,5.03127,55,22,7.14454
15,Cs,Ti,A,0.00000,0.00000,0.00000,-4.46691,0.19559,0.27892,0.22875,-32.48136,-1.03025,0.79000,1.54000,0.25000,0.79000,3.68870,7.25640,0.54710,0.25260,1.71000,1.15000,2.60000,1.43000,0.00000,0.28000,2.60000,1.81000,8.00000,1.40000,0.85167,51.00000,375.70000,45.50000,658.80000,7.60000,0.17280,0.40555,5.03127,55,22,3.45240
16,Cs,Zr,B,0.00000,0.00000,0.00000,-4.65145,0.19003,0.28135,0.22618,-24.75493,-0.49562,0.79000,1.33000,0.25000,0.76000,3.68870,6.89530,0.54710,0.00000,1.71000,1.26500,2.60000,1.56000,0.00000,0.54000,2.60000,1.81000,8.00000,1.55000,0.86000,49.00000,375.70000,45.50000,640.10000,41.10000,0.17280,0.32856,5.08551,55,40,6.47982
17,Cs,Zr,A,0.00000,0.00000,0.00000,-4.65145,0.19003,0.28135,0.22618,-24.75493,-0.49562,0.79000,1.33000,0.25000,0.76000,3.68870,6.89530,0.54710,0.00000,1.71000,1.26500,2.60000,1.56000,0.00000,0.54000,2.60000,1.81000,8.00000,1.55000,0.86000,49.00000,375.70000,45.50000,640.10000,41.10000,0.17280,0.32856,5.08551,55,40,4.09229
18,Cs,Hf,B,0.00000,0.00000,0.00000,-4.60220,0.19346,0.28323,0.22883,-28.34280,-0.49324,0.79000,1.30000,0.25000,0.77500,3.68870,7.64870,0.54710,0.44320,1.71000,1.30000,2.60000,1.61000,0.00000,0.63000,2.60000,1.81000,8.00000,1.55000,0.85000,50.00000,375.70000,45.50000,658.50000,0.00000,0.17280,0.31826,5.12945,55,72,6.48391
19,Cs,Hf,A,0.00000,0.00000,0.00000,-4.60220,0.19346,0.28323,0.22883,-28.34280,-0.49324,0.79000,1.30000,0.25000,0.77500,3.68870,7.64870,0.54710,0.44320,1.71000,1.30000,2.60000,1.61000,0.00000,0.63000,2.60000,1.81000,8.00000,1.55000,0.85000,50.00000,375.70000,45.50000,658.50000,0.00000,0.17280,0.31826,5.12945,55,72,4.03376
