,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
654,Hg,Ga,B,0.99664,-61.48073,0.9997,0.99867,3.65498,-1.22415,1.68,8.6343,5.6565,0.475,0.17,1.3,0.0,28.9,5.83001,80,6.43201
656,Hg,Al,B,0.99486,-61.42993000000001,0.0,0.0,6.88622,-1.11205,1.66,8.6343,5.7109,0.475,0.0,1.25,0.0,42.5,5.8409,80,6.588310000000001
658,Hg,Fe,B,0.99532,-61.83894,0.75183,0.42087,-53.84326,-2.85366,0.99,8.6343,8.5601,0.475,0.22,1.4,0.0,15.7,6.1142699999999985,80,6.12885
660,Hg,Re,B,0.99846,-62.22354,0.5806899999999999,0.38942,-43.45059000000001,-4.20377,0.94,8.6343,7.853,0.475,0.565,1.35,0.0,14.5,6.10217,80,4.10162
662,Hg,Mn,B,0.99653,-62.07888000000001,0.64008,0.36262,-48.98481,-3.1331,0.94,8.6343,8.2684,0.475,0.23,1.4,0.0,0.0,6.00825,80,5.5789800000000005
664,Hg,W,B,0.99794,-62.22606999999999,0.41934,0.40347,-39.67987,-4.13431,0.885,8.6343,7.6293,0.475,0.59,1.35,0.0,78.6,6.2134,80,3.79239
666,Hg,Mo,B,0.99822,-62.27478000000001,0.47037,0.37851,-36.25094,-3.57765,0.88,8.6343,6.4838,0.475,0.49,1.45,0.0,71.9,6.0653,80,4.17267
668,Hg,Cr,B,0.99734,-62.34757,0.498,0.36325,-44.19338,-3.2633,0.89,8.6343,6.7401,0.475,0.25,1.4,0.0,64.3,6.00825,80,5.03336
670,Hg,Ta,B,0.99737,-62.32914,0.27203,0.42099,-35.51335,-3.61784,0.83,8.6343,7.3632,0.475,0.605,1.45,0.0,31.0,6.12925,80,4.62161
672,Hg,Nb,B,0.99752,-62.30356999999999,0.29821,0.39654,-32.08614,-3.32234,0.82,8.6343,6.275,0.475,0.51,1.45,0.0,86.1,6.09609,80,4.76114
674,Hg,V,B,0.99771,-62.52924,0.3328,0.32973,-39.27007,-3.24369,0.84,8.6343,6.4707,0.475,0.26,1.35,0.0,50.6,5.96897,80,4.92997
676,Hg,Hf,B,0.99755,-61.9504,0.20548,0.44007,-27.9394,-1.36345,0.775,8.6343,7.6487,0.475,0.63,1.55,0.0,0.0,6.0338699999999985,80,4.9435
678,Hg,Zr,B,0.99785,-61.94354000000001,0.19664,0.41612,-24.41723,-1.29152,0.76,8.6343,6.8953,0.475,0.54,1.55,0.0,41.1,5.9821800000000005,80,4.87596
680,Hg,Ti,B,0.99797,-61.89654,0.19375,0.30034,-32.33888,-1.62566,0.79,8.6343,7.2564,0.475,0.28,1.4,0.0,7.6,5.91838,80,5.7091
682,Ge,In,B,0.99994,2.47628,0.99974,0.98611,5.81489,-0.76405,1.6,7.4167,5.3782,0.16,0.36,1.55,119.0,28.9,5.7180300000000015,32,4.9151099999999985
684,Ge,Al,B,0.99987,3.40337,0.0,0.0,8.66665,-0.8753299999999999,1.66,7.4167,5.7109,0.16,0.0,1.25,119.0,42.5,5.76521,32,5.59546
686,Ge,Ga,B,0.99992,3.1886,0.99983,0.99831,6.2358400000000005,-0.75522,1.68,7.4167,5.6565,0.16,0.17,1.3,119.0,28.9,5.75446,32,5.732
688,Ge,Fe,B,0.99996,1.61078,0.7438100000000001,0.38856,-53.78168,-2.87475,0.99,7.4167,8.5601,0.16,0.22,1.4,119.0,15.7,6.03503,32,5.15004
690,Ge,Mn,B,0.99996,1.10325,0.63185,0.35415,-48.93289,-3.25671,0.94,7.4167,8.2684,0.16,0.23,1.4,119.0,0.0,5.93039,32,4.75968
692,Ge,Re,B,0.99997,-0.47481,0.59731,0.36647,-43.28233,-4.58194,0.94,7.4167,7.853,0.16,0.565,1.35,119.0,14.5,6.02309,32,3.84502
694,Ge,Cr,B,0.99996,0.61503,0.51339,0.35294000000000003,-44.16207,-3.57057,0.89,7.4167,6.7401,0.16,0.25,1.4,119.0,64.3,5.93039,32,3.94379
696,Ge,Mo,B,0.99996,-0.31122,0.49575,0.36085,-36.17683,-4.16461,0.88,7.4167,6.4838,0.16,0.49,1.45,119.0,71.9,5.9867,32,2.5923700000000003
698,Ge,W,B,0.99996,-0.51962,0.44765,0.35044000000000003,-39.6547,-4.63134,0.885,7.4167,7.6293,0.16,0.59,1.35,119.0,78.6,6.13289,32,2.62965
700,Ge,Ta,B,0.99994,-0.43297,0.29888000000000003,0.33583,-35.78671,-4.31237,0.83,7.4167,7.3632,0.16,0.605,1.45,119.0,31.0,6.04982,32,3.5003800000000003
702,Ge,V,B,0.99996,0.12406,0.34835,0.31533,-39.2541,-3.77058,0.84,7.4167,6.4707,0.16,0.26,1.35,119.0,50.6,5.89162,32,3.49568
704,Ge,Nb,B,0.99995,-0.3147,0.32709,0.34345,-32.17154,-4.01259,0.82,7.4167,6.275,0.16,0.51,1.45,119.0,86.1,6.0170900000000005,32,3.89949
706,Ge,Hf,B,0.99993,1.161,0.19576,0.32381,-28.39513,-1.64915,0.775,7.4167,7.6487,0.16,0.63,1.55,119.0,0.0,5.95568,32,3.3184400000000003
708,Ge,Zr,B,0.99995,0.71604,0.18915,0.29929,-25.22301,-1.8859,0.76,7.4167,6.8953,0.16,0.54,1.55,119.0,41.1,5.90466,32,3.02794
710,Ge,Ti,B,0.99995,1.11418,0.18662,0.30103,-33.08605,-2.3761400000000004,0.79,7.4167,7.2564,0.16,0.28,1.4,119.0,7.6,5.84169,32,3.9565
712,Tl,Sb,B,0.99898,4.64146,0.99994,0.99911,2.2939,-1.85985,2.08,5.273,8.3266,0.46299999999999997,0.335,1.45,19.2,103.2,5.81569,81,5.90757
714,Ge,Sc,B,0.99995,2.33495,0.11629,0.22253,-24.11773,-0.56409,0.74,7.4167,6.8245,0.16,0.31,1.6,119.0,18.1,5.80395,32,5.39283
716,Tl,Ge,B,0.99862,4.82857,0.99993,0.99937,3.64487,-1.92486,1.92,5.273,7.4167,0.46299999999999997,0.16,1.25,19.2,119.0,5.75446,81,5.6513300000000015
718,Tl,In,B,0.99893,5.20816,0.99909,0.99022,6.63455,-0.6190100000000001,1.6,5.273,5.3782,0.46299999999999997,0.36,1.55,19.2,28.9,5.31772,81,4.95376
720,Tl,Sn,B,0.99887,4.87752,0.99978,0.99864,4.7718,-1.13321,1.84,5.273,6.8885,0.46299999999999997,0.345,1.45,19.2,107.3,5.67736,81,5.33426
722,Tl,Fe,B,0.99879,4.39764,0.76348,0.4098,-53.72319,-2.4798400000000003,0.99,5.273,8.5601,0.46299999999999997,0.22,1.4,19.2,15.7,5.61252,81,6.13477
724,Tl,Ga,B,0.99852,5.59362,0.99949,0.9988,6.69623,-0.77853,1.68,5.273,5.6565,0.46299999999999997,0.17,1.3,19.2,28.9,5.35159,81,5.77949
